id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
197,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""اقليد""}",5563,اقليد,1
198,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سپيدان""}",5564,سپيدان,1
199,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""لامرد""}",5565,لامرد,1
200,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""نيريز""}",5566,نيريز,1
201,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""استهبان""}",5567,استهبان,1
202,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""قيروكارزين""}",5568,قيروكارزين,1
203,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""ارسنجان""}",5569,ارسنجان,1
204,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""خرم بيد""}",5570,خرم بيد,1
205,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""زرين دشت""}",5571,زرين دشت,1
206,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""اردكان-سپيدان""}",5572,اردكان-سپيدان,1
207,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""نورآباد- ممسني""}",5573,نورآباد- ممسني,1
208,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""اوز""}",5574,اوز,1
209,2026-06-12 23:33:09.315267+00,2026-06-12 23:33:09.315267+00,,"{""fa"":""بنارويه""}",5575,بنارويه,1
